# N, dt, tmax
# 2, 948.0519480519481, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
9.505208333333333712e+02,6.007873247154451798e-03,-3.723556312014326963e-03,-1.189499178011664223e-04,-6.292350409152224877e+00,3.899869407947640365e+00,1.245822828068647858e-01,6.203433703120066015e-10
1.901041666666666742e+03,1.199841357427420749e-02,-7.544137838715984923e-04,-2.653122385391532977e-04,-1.256654717191655557e+01,7.901358244971129485e-01,2.778749657402709849e-01,1.565388281801057880e-10
2.851562500000000000e+03,1.661686797443594904e-02,2.346049167808762770e-03,-3.815217407583840030e-04,-1.740368874248363440e+01,-2.457136299928531997e+00,3.995870722969280808e-01,-6.925358250675488943e-11
3.802083333333333485e+03,2.045844502342440002e-02,5.340294483003021897e-03,-4.799086069594580358e-04,-2.142716725502403818e+01,-5.593161305630578894e+00,5.026326280747159814e-01,-1.349556462236003602e-10
4.752604166666666970e+03,2.380952734567339663e-02,8.207066376603996960e-03,-5.667919125477463268e-04,-2.493692575924904631e+01,-8.595676930638148860e+00,5.936299212892325317e-01,-1.597469892088695972e-10
5.703125000000000000e+03,2.681986074248492863e-02,1.095652977386665089e-02,-6.455642111899430845e-04,-2.808980062891832929e+01,-1.147532941680019114e+01,6.761321454874298365e-01,-1.710515998431717640e-10
6.653645833333333940e+03,2.957709946135829090e-02,1.360264935196136421e-02,-7.182446376022516392e-04,-3.097759660381684910e+01,-1.424674467889416896e+01,7.522540428808970336e-01,-1.769319463463510194e-10
7.604166666666666970e+03,3.213722570245666765e-02,1.615813757635815168e-02,-7.861385120204985102e-04,-3.365894668194751915e+01,-1.692323712686365766e+01,8.233627415667305049e-01,-1.802960287369772857e-10
8.554687500000000000e+03,3.453838917231657341e-02,1.863371202443425689e-02,-8.501438938540026779e-04,-3.617380698616091195e+01,-1.951603182315928819e+01,8.903988247195746553e-01,-1.823631975305163521e-10
9.505208333333333940e+03,3.680789961837136609e-02,2.103826426313076814e-02,-9.109087303067983123e-04,-3.855078040026745612e+01,-2.203444135687509942e+01,9.540409203142035111e-01,-1.837059493348185030e-10
1.045572916666666788e+04,3.896607219399314537e-02,2.337918238452641601e-02,-9.689182302193453597e-04,-4.081114401490708588e+01,-2.448620365161598400e+01,1.014797212182097841e+00,-1.846176475428941167e-10
1.140625000000000000e+04,4.102848974604828697e-02,2.566265056623200091e-02,-1.024546723567555575e-03,-4.297121853606373776e+01,-2.687779571029440717e+01,1.073059755095419510e+00,-1.852594409076088586e-10
