# N, dt, tmax
# 2, 29.99917810470946, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
3.000164392569455885e+01,-2.350161912571389032e-03,-4.175361328215387857e-03,6.992489288905689797e-05,2.461443786142909929e+00,4.373067719828850564e+00,-7.323588735644162573e-02,-2.712973822575029592e-08
6.000328785138911769e+01,-2.156843524482698893e-03,-4.287169844129757809e-03,6.606412455812295389e-05,2.258971631963781146e+00,4.490170450182509043e+00,-6.919230884081625788e-02,-2.712968600003380314e-08
9.000493177708366943e+01,-1.959011782942746312e-03,-4.390007142339871250e-03,6.206511219548507634e-05,2.051772413769254566e+00,4.597877169157481347e+00,-6.500394033817392947e-02,-2.712963232080773723e-08
1.200065757027782354e+02,-1.757101286591698569e-03,-4.483704238888887653e-03,5.793687734568673739e-05,1.840301308760773136e+00,4.696010891283829203e+00,-6.068023056974491264e-02,-2.712957738333771019e-08
1.500082196284728013e+02,-1.551551480677632218e-03,-4.568114683701402640e-03,5.368864359008567605e-05,1.625018570238096816e+00,4.784418231968708746e+00,-5.623083986016368108e-02,-2.712952138023507021e-08
1.800098635541673389e+02,-1.342805375907024125e-03,-4.643114509580609749e-03,4.932980767126064336e-05,1.406388185786428657e+00,4.862969354078498618e+00,-5.166560989459530184e-02,-2.712946450035189101e-08
2.100115074798619048e+02,-1.131308298900254080e-03,-4.708602101345807714e-03,4.486991099280975980e-05,1.184876568565081500e+00,4.931557830879887305e+00,-4.699453386902854163e-02,-2.712940692778774626e-08
2.400131514055564708e+02,-9.175066794502705764e-04,-4.764497989946357009e-03,4.031861163092885606e-05,9.609512871419585434e-01,4.990100430404965870e+00,-4.222772717658213742e-02,-2.712934884101244819e-08
2.700147953312510367e+02,-7.018468791542566663e-04,-4.810744576689863876e-03,3.568565698135455367e-05,7.350798386600788659e-01,5.038536826621418996e+00,-3.737539875926072785e-02,-2.712929041210655012e-08
3.000164392569456027e+02,-4.847740653545093924e-04,-4.847305792946197955e-03,3.098085715200966689e-05,5.077284694587389513e-01,5.076829243023280647e+00,-3.244782324072274099e-02,-2.712923180611927575e-08
3.300180831826401686e+02,-2.667311336950791822e-04,-4.874166700837968477e-03,2.621405919822000568e-05,2.793610466124269998e-01,5.104962034413817129e+00,-2.745531394151594015e-02,-2.712917318054207152e-08
3.600197271083346777e+02,-4.815768198338388900e-05,-4.891333040506467417e-03,2.139512228388508588e-05,5.043798320403842378e-02,5.122941212734180461e+00,-2.240819686411156877e-02,-2.712911468489403040e-08
3.900213710340292437e+02,1.705109625516000496e-04,-4.898830729554883370e-03,1.653389383866813968e-05,-1.785847804769635783e-01,5.130793922804892659e+00,-1.731678572111997050e-02,-2.712905646041386963e-08
4.200230149597238096e+02,3.888446610845512565e-04,-4.896705320223319544e-03,1.164018676828585353e-05,-4.072567382194527408e-01,5.128567873797713617e+00,-1.219135806647100514e-02,-2.712899863985282786e-08
4.500246588854183756e+02,6.064193251227108401e-04,-4.885021419749013133e-03,6.723757762469752394e-06,-6.351337206325065043e-01,5.116330732149491745e+00,-7.042132576241636431e-03,-2.712894134736088482e-08
4.800263028111129415e+02,8.228177220636109356e-04,-4.863862079216301967e-03,1.794286733257820698e-06,-8.617787388468782783e-01,5.094169481473729277e+00,-1.879247513335728864e-03,-2.712888469845906400e-08
5.100279467368075075e+02,1.037630224372963674e-03,-4.833328156010929452e-03,-3.138642594944795835e-06,-1.086762769167003873e+00,5.062189754826642130e+00,3.287259601529965870e-03,-2.712882880008942082e-08
5.400295906625020734e+02,1.250455502799425718e-03,-4.793537654768543696e-03,-8.065560932547843613e-06,-1.309665479109988429e+00,5.020515144449086975e+00,8.447471101025193219e-03,-2.712877375073443127e-08
5.700312345881966394e+02,1.460901164426189371e-03,-4.744625051453963197e-03,-1.297713050783898660e-05,-1.530075895669403163e+00,4.969286493840492369e+00,1.359160706316466308e-02,-2.712871964059761506e-08
6.000328785138912053e+02,1.668584336699944701e-03,-4.686740604932038493e-03,-1.786416099333168990e-05,-1.747593016998444604e+00,4.908661176732096898e+00,1.871004199178006797e-02,-2.712866655183672776e-08
6.300345224395857713e+02,1.873132198875926586e-03,-4.620049660098286999e-03,-2.271762429068847664e-05,-1.961826369019288974e+00,4.838812367220318045e+00,2.379332030152020439e-02,-2.712861455884179939e-08
6.600361663652803372e+02,2.074182462574338578e-03,-4.544731946333247646e-03,-2.752866819651443424e-05,-2.172396508734212528e+00,4.759928305002406823e+00,2.883217063072972611e-02,-2.712856372855030013e-08
6.900378102909749032e+02,2.271383803359796737e-03,-4.460980874733446941e-03,-3.228862897744829715e-05,-2.378935476240635616e+00,4.672211559330792241e+00,3.381751901197991433e-02,-2.712851412079187280e-08
7.200394542166693554e+02,2.464396245433350934e-03,-4.369002837258324605e-03,-3.698904288826154003e-05,-2.581087197638591402e+00,4.575878294974104143e+00,3.874050093555812119e-02,-2.712846578865632901e-08
7.500410981423639214e+02,2.652891501668250447e-03,-4.269016510620260094e-03,-4.162165667114086498e-05,-2.778507841167430215e+00,4.471157543145884539e+00,4.359247234589896242e-02,-2.712841877887825502e-08
7.800427420680584873e+02,2.836553271328308683e-03,-4.161252167437269611e-03,-4.617843707801663311e-05,-2.970866129021364710e+00,4.358290480039872961e+00,4.836501961480183659e-02,-2.712837313223294010e-08
8.100443859937530533e+02,3.015077497884044010e-03,-4.045950996867940172e-03,-5.065157946075353674e-05,-3.157843607373395312e+00,4.237529715296493471e+00,5.304996853837339738e-02,-2.712832888393813484e-08
